replicate,m,h,gamma_tilde,gamma_se,target,F_plus,F_plus_se,F_minus,F_minus_se,derivative,derivative_se,discrepancy,combined_se
1,75,0.1,1.9626545979098762,0.0036320506301257957,-0.9626545979098762,-0.07869180481499798,0.0002896584854851777,0.07891260347824249,0.00028906811126686895,-0.7880220414662022,0.0020461085697303662,0.17463255644367393,0.004168735067010284
1,100,0.1,1.775294527673101,0.003124381640087574,-0.7752945276731009,-0.06468613174052945,0.0002774604187664003,0.06477396548306519,0.00027686654247531214,-0.6473004861179732,0.001959842891179418,0.12799404155512772,0.0036881899071255562
1,1,0.05,15.90603396037985,0.04031870593695188,-14.90603396037985,-0.6990955688117706,0.002642360129574041,0.6965247201821134,0.002641666691931527,-13.95620288993884,0.037363712296321676,0.9498310704410091,0.054969491947740416
1,2,0.05,13.264722553864644,0.03352626479725655,-12.264722553864644,-0.5738380670029022,0.002197278447165724,0.5728829175455104,0.00219741017387079,-11.467209845484124,0.03107514126534242,0.7975127083805198,0.04571296135579877
1,5,0.05,10.201654017361736,0.024989338980138852,-9.201654017361736,-0.4286885146176022,0.001643493677564031,0.42818889566703516,0.0016433967695131894,-8.568774102846373,0.023241825251557435,0.6328799145153639,0.034126961536125947
1,10,0.05,7.095209169143058,0.016470795994721756,-6.095209169143058,-0.2842060690869218,0.0010769854259485513,0.2838928890223879,0.0010775553578941317,-5.680989581093097,0.015234904519004812,0.41421958804996173,0.022436341867669414
1,20,0.05,4.256880901020692,0.009434807427990839,-3.2568809010206916,-0.15189633900445693,0.0006223180122003432,0.15147008686377902,0.0006227417031653757,-3.033664258682359,0.008803902186929948,0.2232166423383326,0.012904428887800539
1,50,0.05,2.3589157991075433,0.004674572700225076,-1.3589157991075433,-0.06330626267982835,0.00034933022960346473,0.06331211880275127,0.00034962997198386444,-1.266183814825796,0.004942395437682493,0.09273198428174734,0.0068028598833221815
1,75,0.05,1.9626545979098762,0.0036320506301257957,-0.9626545979098762,-0.04492745256328388,0.0003016706631248684,0.04519208423760854,0.00030214970648901343,-0.9011953680089241,0.004269656123408474,0.061459229900952095,0.00560551114457519
1,100,0.05,1.775294527673101,0.003124381640087574,-0.7752945276731009,-0.036383866755178906,0.0002820839092001845,0.03641702584885515,0.00028254303606184015,-0.7280089260403405,0.0039925167383080586,0.04728560163276041,0.005069709117748901
1,1,0.025,15.90603396037985,0.04031870593695188,-14.90603396037985,-0.3674186573952094,0.0027926960153837055,0.36398962802497326,0.002792102025695146,-14.628165708403653,0.078980971774804,0.27786825197619613,0.08867689637624213
1,2,0.025,13.264722553864644,0.03352626479725655,-12.264722553864644,-0.3018263615544728,0.002326892651242225,0.30018287542641353,0.002327523771769248,-12.040184739617725,0.06582338890867294,0.22453781424691854,0.07386967550137317
1,5,0.025,10.201654017361736,0.024989338980138852,-9.201654017361736,-0.22579690630659754,0.0017465199403920526,0.2252108791611884,0.0017469517771636566,-9.020155709355718,0.04940515120479773,0.1814983080060184,0.055365476862691373
1,10,0.025,7.095209169143058,0.016470795994721756,-6.095209169143058,-0.14970140605035134,0.0011461714684150017,0.1491027109279853,0.0011454110308082113,-5.976082339566733,0.03240787228131912,0.11912682957632548,0.03635322965710247
1,20,0.025,4.256880901020692,0.009434807427990839,-3.2568809010206916,-0.08033741154942421,0.0006571243518531221,0.08014649404140409,0.000656024762889319,-3.209678111816566,0.01857073938562892,0.04720278920412557,0.020829977257122014
1,50,0.025,2.3589157991075433,0.004674572700225076,-1.3589157991075433,-0.03386488978497463,0.0003593702520977648,0.03371410007709545,0.0003587046634638252,-1.3515797972414016,0.010155117206285844,0.007336001866141695,0.01117935755770842
1,75,0.025,1.9626545979098762,0.0036320506301257957,-0.9626545979098762,-0.02407539902225327,0.00030657772372527284,0.024044072153773865,0.0003058374399242903,-0.9623894235205427,0.008660864629908808,0.000265174389333489,0.009391611571897692
1,100,0.025,1.775294527673101,0.003124381640087574,-0.7752945276731009,-0.019372911594546342,0.0002847236652374019,0.019539071530340044,0.0002838835595461495,-0.7782396624977278,0.008041329266403965,-0.0029451348246268827,0.0086269772808117
