layer,detector,family,family_class,m,arl,gamma,gamma_se,route_b_gamma,route_b_se,correspondence_verdict,mean_window_at_zero,origin_is_fixed_point,expected_short_correction,fixed_denominator_gain,gaussian_form_gain,stability_status,critical_rho
reduced,cusum@2,uniform,OUTSIDE-ASSUMPTIONS,3,19.898027333333335,0.0,0.0,4.836795659069136,0.0071695364285522985,COUNTEREXAMPLE-CONFIRMED,-0.0007957662543126239,True,0.0,0.0,3.7415013638119348,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
reduced,cusum@2,uniform,OUTSIDE-ASSUMPTIONS,5,19.898027333333335,0.0,0.0,3.3123073298531027,0.00489404112427049,COUNTEREXAMPLE-CONFIRMED,-0.0005982349015527326,True,0.0,0.0,2.6953199603177946,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
reduced,cusum@2,cauchy,OUTSIDE-ASSUMPTIONS,1,3.6599911666666665,-2.996699872480147,6.820948498056468,14.181072958450425,8.260668420324588,COUNTEREXAMPLE-NOT-DEMONSTRATED,-30.400455485387482,True,0.0,-2.996699872480147,3876810935.788555,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
reduced,cusum@2,cauchy,OUTSIDE-ASSUMPTIONS,2,3.6599911666666665,-0.9407286724817459,3.410437829664533,7.642758842777127,4.1295029176013145,COUNTEREXAMPLE-NOT-DEMONSTRATED,-28.014136629656676,True,0.23089900241600012,-1.1716276748977454,3618981745.114659,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
reduced,cusum@2,cauchy,OUTSIDE-ASSUMPTIONS,3,3.6599911666666665,-0.3458257690333409,2.2763920748630033,5.430381430762508,2.7547833677776055,COUNTEREXAMPLE-NOT-DEMONSTRATED,-26.957266365800567,True,0.32208916153048467,-0.6679149305638242,3533828648.9561267,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
reduced,cusum@2,cauchy,OUTSIDE-ASSUMPTIONS,5,3.6599911666666665,0.2914867390185341,1.3963869222887053,3.702533691653813,1.6524860519212112,COUNTEREXAMPLE-NOT-DEMONSTRATED,-26.141491036266313,True,0.6265674537360498,-0.3350807147175157,3465882855.750414,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
reduced,sr@20,gaussian,THEOREM-SUPPORTED,1,18.3347145,6.427797522853038,0.0021732299162065174,6.432919515622039,0.012896993845397244,PASS,0.0004964806358903034,True,0.0,6.427797522853038,6.427797522853038,CLASSIFIED,0.1842367914038115
reduced,sr@20,gaussian,THEOREM-SUPPORTED,2,18.3347145,4.820510626821234,0.0015876045238543952,4.820088880433229,0.010344858508173752,PASS,0.00032518000678474817,True,0.0032860702311822685,4.817224556590052,4.820510626821234,CLASSIFIED,0.26174511673378764
reduced,sr@20,gaussian,THEOREM-SUPPORTED,3,18.3347145,3.850163450220992,0.0012588524544601312,3.8499819526194354,0.00785619231850498,PASS,0.0001240649233881822,True,0.030057838190039116,3.8201056120309524,3.850163450220992,CLASSIFIED,0.35085707099445945
reduced,sr@20,gaussian,THEOREM-SUPPORTED,5,18.3347145,2.7833595126113813,0.00101521922843972,2.7800377419888407,0.005283789786595733,PASS,0.0003616238393745112,True,0.14262444980709046,2.6407350628042905,2.7833595126113813,CLASSIFIED,0.560739431913925
